"full_circle","lon","lat","period","species","count","distance_km","present","site_number_present","site_possible_present","fraction_present","site_mean_tmin","site_tmin_anom","site_mean_precip","site_precip_anom","site_mean_urban","site_urban_anom","site_mean_anthro","site_anthro_anom","site_mean_ag","site_ag_anom","site_mean_grass","site_grass_anom","site_mean_wetland","site_wetland_anom","site_mean_forest_shrub","site_forest_shrub_anom","site_mean_forest_shrub_pasture","site_forest_shrub_pasture_anom","site_mean_forest","site_forest_anom","decade","site_int","tmin_scl","tmin_anom_scl","precip_scl","precip_anom_scl","urban_scl","urban_anom_scl","anthro_scl","anthro_anom_scl","ag_scl","ag_anom_scl","forest_shrub_scl","forest_shrub_anom_scl","forest_shrub_pasture_scl","forest_shrub_pasture_anom_scl","grass_scl","grass_anom_scl","wetland_scl","wetland_anom_scl","forest_scl","forest_anom_scl","log_distance_1k_km","species_int","intercept"
"Aiken US-SC",-81.617906,33.563557,1935,"Accipiter_cooperii",3,19.31208,1,8,8,1,6.42345556122222,0.880861298777778,41021.4409744444,-6368.85256444445,0.0469133620097,-0.0284406733054,0.332223597116567,0.0763852061357333,0.285310235106867,0.104825879441133,0,0,0.0584035511558867,0.00744407125886334,0.587472747628233,-0.0649342996873333,0.608665763164544,-0.0699526643486444,0.587472747628233,-0.0649342996873333,1,1,1.18349070753203,1.89085997709576,0.135517933383098,-1.3580008050421,-0.784730634514959,-0.333034579311255,-0.939428425960157,1.50432691276709,-0.359270322147587,1.51985112127958,1.3639415940376,-1.39081531265438,0.587184730482079,-1.28377263270404,-0.34311123158218,-0.00000000000000000622534742615372,0.295023017527583,0.682281682446432,1.37065398456841,-1.40014646945219,-3.94702447213347,1,1
"Aiken US-SC",-81.617906,33.563557,1935,"Buteo_jamaicensis",3,19.31208,1,8,8,1,6.42345556122222,0.880861298777778,41021.4409744444,-6368.85256444445,0.0469133620097,-0.0284406733054,0.332223597116567,0.0763852061357333,0.285310235106867,0.104825879441133,0,0,0.0584035511558867,0.00744407125886334,0.587472747628233,-0.0649342996873333,0.608665763164544,-0.0699526643486444,0.587472747628233,-0.0649342996873333,1,1,1.18349070753203,1.89085997709576,0.135517933383098,-1.3580008050421,-0.784730634514959,-0.333034579311255,-0.939428425960157,1.50432691276709,-0.359270322147587,1.51985112127958,1.3639415940376,-1.39081531265438,0.587184730482079,-1.28377263270404,-0.34311123158218,-0.00000000000000000622534742615372,0.295023017527583,0.682281682446432,1.37065398456841,-1.40014646945219,-3.94702447213347,2,1
"Aiken US-SC",-81.617906,33.563557,1935,"Buteo_lineatus",0,19.31208,0,7,8,0.875,6.42345556122222,0.880861298777778,41021.4409744444,-6368.85256444445,0.0469133620097,-0.0284406733054,0.332223597116567,0.0763852061357333,0.285310235106867,0.104825879441133,0,0,0.0584035511558867,0.00744407125886334,0.587472747628233,-0.0649342996873333,0.608665763164544,-0.0699526643486444,0.587472747628233,-0.0649342996873333,1,1,1.18349070753203,1.89085997709576,0.135517933383098,-1.3580008050421,-0.784730634514959,-0.333034579311255,-0.939428425960157,1.50432691276709,-0.359270322147587,1.51985112127958,1.3639415940376,-1.39081531265438,0.587184730482079,-1.28377263270404,-0.34311123158218,-0.00000000000000000622534742615372,0.295023017527583,0.682281682446432,1.37065398456841,-1.40014646945219,-3.94702447213347,3,1
"Aiken US-SC",-81.617906,33.563557,1935,"Meleagris_gallopavo",0,19.31208,0,4,8,0.5,6.42345556122222,0.880861298777778,41021.4409744444,-6368.85256444445,0.0469133620097,-0.0284406733054,0.332223597116567,0.0763852061357333,0.285310235106867,0.104825879441133,0,0,0.0584035511558867,0.00744407125886334,0.587472747628233,-0.0649342996873333,0.608665763164544,-0.0699526643486444,0.587472747628233,-0.0649342996873333,1,1,1.18349070753203,1.89085997709576,0.135517933383098,-1.3580008050421,-0.784730634514959,-0.333034579311255,-0.939428425960157,1.50432691276709,-0.359270322147587,1.51985112127958,1.3639415940376,-1.39081531265438,0.587184730482079,-1.28377263270404,-0.34311123158218,-0.00000000000000000622534742615372,0.295023017527583,0.682281682446432,1.37065398456841,-1.40014646945219,-3.94702447213347,4,1
"Aiken US-SC",-81.617906,33.563557,1955,"Accipiter_cooperii",3,753.17112,1,8,8,1,6.42345556122222,-0.00417880222222244,41021.4409744444,-5388.36513444444,0.0469133620097,-0.0203091548328,0.332223597116567,-0.00820026319366673,0.285310235106867,0.0121088916391333,0,0,0.0584035511558867,-0.00015713079171667,0.587472747628233,0.0241588592306666,0.608665763164544,0.0203778995543555,0.587472747628233,0.0241588592306666,3,1,1.18349070753203,-0.00897023161894262,0.135517933383098,-1.14893603147408,-0.784730634514959,-0.237816129149955,-0.939428425960157,-0.161495625109474,-0.359270322147587,0.175564589901911,1.3639415940376,0.517453972955178,0.587184730482079,0.373975601979776,-0.34311123158218,-0.00000000000000000622534742615372,0.295023017527583,-0.0144017241652466,1.37065398456841,0.520925637462579,-0.283462826003824,1,1
"Aiken US-SC",-81.617906,33.563557,1955,"Buteo_jamaicensis",5,753.17112,1,8,8,1,6.42345556122222,-0.00417880222222244,41021.4409744444,-5388.36513444444,0.0469133620097,-0.0203091548328,0.332223597116567,-0.00820026319366673,0.285310235106867,0.0121088916391333,0,0,0.0584035511558867,-0.00015713079171667,0.587472747628233,0.0241588592306666,0.608665763164544,0.0203778995543555,0.587472747628233,0.0241588592306666,3,1,1.18349070753203,-0.00897023161894262,0.135517933383098,-1.14893603147408,-0.784730634514959,-0.237816129149955,-0.939428425960157,-0.161495625109474,-0.359270322147587,0.175564589901911,1.3639415940376,0.517453972955178,0.587184730482079,0.373975601979776,-0.34311123158218,-0.00000000000000000622534742615372,0.295023017527583,-0.0144017241652466,1.37065398456841,0.520925637462579,-0.283462826003824,2,1
"Aiken US-SC",-81.617906,33.563557,1955,"Buteo_lineatus",3,753.17112,1,7,8,0.875,6.42345556122222,-0.00417880222222244,41021.4409744444,-5388.36513444444,0.0469133620097,-0.0203091548328,0.332223597116567,-0.00820026319366673,0.285310235106867,0.0121088916391333,0,0,0.0584035511558867,-0.00015713079171667,0.587472747628233,0.0241588592306666,0.608665763164544,0.0203778995543555,0.587472747628233,0.0241588592306666,3,1,1.18349070753203,-0.00897023161894262,0.135517933383098,-1.14893603147408,-0.784730634514959,-0.237816129149955,-0.939428425960157,-0.161495625109474,-0.359270322147587,0.175564589901911,1.3639415940376,0.517453972955178,0.587184730482079,0.373975601979776,-0.34311123158218,-0.00000000000000000622534742615372,0.295023017527583,-0.0144017241652466,1.37065398456841,0.520925637462579,-0.283462826003824,3,1
"Aiken US-SC",-81.617906,33.563557,1955,"Meleagris_gallopavo",0,753.17112,0,4,8,0.5,6.42345556122222,-0.00417880222222244,41021.4409744444,-5388.36513444444,0.0469133620097,-0.0203091548328,0.332223597116567,-0.00820026319366673,0.285310235106867,0.0121088916391333,0,0,0.0584035511558867,-0.00015713079171667,0.587472747628233,0.0241588592306666,0.608665763164544,0.0203778995543555,0.587472747628233,0.0241588592306666,3,1,1.18349070753203,-0.00897023161894262,0.135517933383098,-1.14893603147408,-0.784730634514959,-0.237816129149955,-0.939428425960157,-0.161495625109474,-0.359270322147587,0.175564589901911,1.3639415940376,0.517453972955178,0.587184730482079,0.373975601979776,-0.34311123158218,-0.00000000000000000622534742615372,0.295023017527583,-0.0144017241652466,1.37065398456841,0.520925637462579,-0.283462826003824,4,1
"Aiken US-SC",-81.617906,33.563557,1965,"Accipiter_cooperii",1,629.25194,1,8,8,1,6.42345556122222,-0.747012825222222,41021.4409744444,-5572.63133444444,0.0469133620097,-0.0123544085008,0.332223597116567,-0.0150943766819667,0.285310235106867,-0.00273996818116667,0,0,0.0584035511558867,-0.000687447213916663,0.587472747628233,0.0312297448588668,0.608665763164544,0.0276255573232557,0.587472747628233,0.0312297448588668,4,1,1.18349070753203,-1.60354037071423,0.135517933383098,-1.18822625611188,-0.784730634514959,-0.144667645295237,-0.939428425960157,-0.297267994980302,-0.359270322147587,-0.0397262940661052,1.3639415940376,0.668903916252971,0.587184730482079,0.506984755834816,-0.34311123158218,-0.00000000000000000622534742615372,0.295023017527583,-0.0630075432372731,1.37065398456841,0.673391677689326,-0.463223561936105,1,1
"Aiken US-SC",-81.617906,33.563557,1965,"Buteo_jamaicensis",10,629.25194,1,8,8,1,6.42345556122222,-0.747012825222222,41021.4409744444,-5572.63133444444,0.0469133620097,-0.0123544085008,0.332223597116567,-0.0150943766819667,0.285310235106867,-0.00273996818116667,0,0,0.0584035511558867,-0.000687447213916663,0.587472747628233,0.0312297448588668,0.608665763164544,0.0276255573232557,0.587472747628233,0.0312297448588668,4,1,1.18349070753203,-1.60354037071423,0.135517933383098,-1.18822625611188,-0.784730634514959,-0.144667645295237,-0.939428425960157,-0.297267994980302,-0.359270322147587,-0.0397262940661052,1.3639415940376,0.668903916252971,0.587184730482079,0.506984755834816,-0.34311123158218,-0.00000000000000000622534742615372,0.295023017527583,-0.0630075432372731,1.37065398456841,0.673391677689326,-0.463223561936105,2,1
